Device name,Maker,Screen size,Device type
Galaxy Note 2/3/4,SAMSUNG,360*640,phone
Galaxy Note 1,SAMSUNG,400*640,phone
Galaxy S 3/4/5/6,SAMSUNG,360*640,phone
Galaxy S 1/2,SAMSUNG,320*533,phone
iPhone 6+,Apple,414*736,phone
iPhone 6,Apple,375*667,phone
iPhone 5,Apple,320*568,phone
iPhone 3GS/4,Apple,320*480,phone
Optimus G Pro/2/3,LG,360*640,phone
Optimus G,LG,384*640,phone
Optimus View,LG,384*512,phone
Optimus 2X/3D,LG,320*533,phone
Nexus 5,Google,360*640,phone
Nexus 4,Google,384*640,phone
Vega R3/No.6,Pantech,360*640,phone
One/One Mini/Evo,HTC,360*640,phone
Xperia Z,Sony,360*640,phone
Mi 2/3,Xiaomi,360*640,phone
Ascend G6/Meta2,Huawei,360*640,phone
Grand X/S,ZTE,360*640,phone
iPad/iPad Mini,Apple,1024*768,tablet
Galaxy Tab S,SAMSUNG,1280*800,tablet
Gpad 8.3,LG,960*600,tablet
Nexus 10,Google,1280*800,tablet
Nexus 7,Google,960*600,tablet
